,index,Тип объекта,Площадь участка,Площадь общая,Площадь жилая,Уровней в доме,Год постройки,Процент готовности,Материал стен,Материал крыши,Отопление,Канализация,Электроснабжение,Вода,Телефон,Условия продажи,Номер договора,Область,Район,Населенный пункт,Номер дома,Сельсовет,Координаты,Цена,Площадь кухни,Газ,Баня,Гараж,Статус земли,Сад,Хозпостройки,Возможен торг,Рядом лес,Водоем,Ландшафтный дизайн,Улица,Ширина застройки,Длина застройки,Теплица,Мебель,Направление,Ремонт,Камин,Строительные материалы,Район города,Беседка,Микрорайон,Новостройка,Бассейн,Элитный коттедж,Пруд на участке,Аукцион
0,3034765,['Дача'],"['6.3', 'соток']","['99.2', 'м²']",,['2'],['1995'],['100'],['Дерево'],['Металло-черепица'],['Печное'],['Местная'],['Есть'],"['Центральный', 'водопровод']",,"['Чистая', 'продажа']",['130/3'],"['Минская', 'область']","['Логойский', 'район']","['с/т', 'РОДНИКИ-2']",,"['Янушковичский', 'с/с']","['54.25463,', '27.600333']",64 775 р.,"['10.9', 'м²']",['Есть'],,['Есть'],['Частная'],,1.0,['Да'],1.0,,1.0,,,,1.0,,"['Мядельское,', '41', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3087278,['Дача'],"['7.62', 'соток']","['63', 'м²']",,,['1998'],,,,,,['Есть'],['Скважина'],,"['Чистая', 'продажа']",['630710'],"['Брестская', 'область']","['Брестский', 'район']","['с/т', 'Балагое']",,"['Мухавецкий', 'с/с']","['52.039425,', '23.767365']",65 100 р.,,,,,['Частная'],,,,,,,,,,,,,,,,,,,,,,,
0,2804843,['Дача'],"['4.1', 'сотки']","['54', 'м²']",,['2'],['1989'],,"['Блок', 'газосиликатный']",['Шифер'],"['На', 'газу']",['Местная'],['Есть'],['Горячая'],,"['Чистая', 'продажа']","['265/9', 'от', '11.07.2022']","['Брестская', 'область']","['Брестский', 'район']","['Мухавецкий', 'с/с']",,"['Мухавецкий', 'с/с']","['52.031591,', '23.834101']",55 335 р.,,['Есть'],,,['Частная'],,,,,,,,,,,,,,,,,,,,,,,
0,3069971,['Дача'],"['6', 'соток']","['40', 'м²']",,['2'],,['100'],"['Белый', 'кирпич']",['Шифер'],['Печное'],['Местная'],['Есть'],['Колодец'],,"['Чистая', 'продажа']",,"['Гродненская', 'область']","['Гродненский', 'район']","['д.', 'Плебанишки']",,"['Гожский', 'с/с']","['53.863083,', '23.876457']",58 590 р.,,,,,['Частная'],,,,1.0,,1.0,,,,,['Есть'],,"['Отделка', 'деревом']",,,,,,,,,,
0,3249033,['Дача'],"['4.18', 'сотки']","['73.7', 'м²']","['46.1', 'м²']",['3'],['1984'],['100'],['Блочный'],['Шифер'],"['Паровое', 'на', 'твёрдом', 'топливе']",['Местная'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['222/2', 'от', '07.02.2024']","['Минская', 'область']","['Молодечненский', 'район']","['с/т', 'ГЛОБУС-9']",,"['Радошковичский', 'с/с']","['54.109052,', '27.152172']",84 630 р.,"['11.62', 'м²']",['Есть'],,,['Частная'],,,,,,,,"['6', 'м']","['7.7', 'м']",,,"['Молодечненское,', '41', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3016205,['Дача'],"['10', 'соток']","['87.8', 'м²']",,['2'],['1993'],,,,['Печное'],,['Есть'],,,"['Чистая', 'продажа']",,"['Витебская', 'область']","['Витебский', 'район']","['д.', 'Дрюково']",['9'],"['Вороновский', 'с/с']","['55.138426,', '30.416958']",30 923 р.,,,,['Есть'],['Частная'],,,['Да'],1.0,1.0,,,,,,['Есть'],,,,,,,,,,,,
0,3052688,['Дача'],"['6', 'соток']","['61.9', 'м²']","['30', 'м²']",['1'],['2005'],['70'],['Сруб'],['Шифер'],['Нет'],"['С/у', 'на', 'улице']",['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['1090/3', 'от', '26.05.2023']","['Минская', 'область']","['Смолевичский', 'район']","['с/т', 'Информатика-89']",,,"['54.005702,', '27.961384']",29 295 р.,"['5', 'м²']",['Нет'],,,['Частная'],1.0,1.0,,1.0,,,,,,,,"['Московское,', '22', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3263258,['Дача'],"['10', 'соток']","['101.6', 'м²']","['88.3', 'м²']",['2'],['1993'],['100'],['Каркасно-засыпной'],['Шифер'],['Электрическое'],['Местная'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['22/4', 'от', '23.02.2024']","['Минская', 'область']","['Минский', 'район']","['с/т', 'Селена-89']",,"['Шершунский', 'с/с']","['54.11678,', '27.240674']",113 600 р.,"['13.3', 'м²']",['Нет'],,,['Частная'],1.0,1.0,,1.0,,1.0,,,,1.0,['Есть'],,,,,,1.0,,,,,,
0,2819328,['Дача'],"['6', 'соток']","['127', 'м²']","['75', 'м²']",['1'],['2017'],['100'],['Блочный'],"['Мягкая', 'черепица']",['Нет'],['Местная'],['220В'],['Скважина'],,"['Чистая', 'продажа']","['1411/1', 'от', '30.07.2022']","['Минская', 'область']","['Смолевичский', 'район']","['с/т', 'Шеметово-1']",['106'],"['Пекалинский', 'с/с']","['53.901696,', '28.057364']",129 875 р.,"['12.5', 'м²']",['Нет'],,,['Частная'],,,,,,,,,,,,"['Московское,', '37', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3252099,['Дача'],"['6', 'соток']","['60', 'м²']","['38', 'м²']",['2'],['2000'],['100'],['Кирпичный'],['Шифер'],['Печное'],['Местная'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']",,"['Брестская', 'область']","['Барановичский', 'район']","['д.', 'Полонка']",,"['Полонковский', 'с/с']","['53.145381,', '25.719683']",27 993 р.,"['10', 'м²']",['Нет'],,,['Частная'],,1.0,,1.0,1.0,1.0,,"['6', 'м']","['5', 'м']",,['Есть'],,"['Отделка', 'деревом']",,,,,,,,,,
0,3195042,['Дача'],"['11.96', 'соток']","['54.2', 'м²']",,['2'],['1989'],['100'],"['Дерево,', 'обложено', 'кирпичом']",['Шифер'],['Печное'],['Нет'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['453/7', 'от', '10.11.2023']","['Минская', 'область']","['Воложинский', 'район']","['с/т', 'Вязы']",,"['Раковский', 'с/с']","['54.069112,', '27.166483']",65 067 р.,,['Нет'],,,['Частная'],,,['Да'],,,,,,,,,"['Молодечненское,', '28', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3192935,['Дача'],"['5.08', 'соток']","['23.9', 'м²']",,['1'],,['100'],"['Блок', 'газосиликатный']",['Шифер'],"['На', 'газу']",['Местная'],['Есть'],['Скважина'],,['Обмен'],"['2069/1', 'от', '06.07.2023']","['Брестская', 'область']","['Брестский', 'район']","['д.', 'Каменица-Жировецкая']",,,"['52.072109,', '23.804563']",61 845 р.,,['Есть'],,,['Частная'],,,['Да'],,,,,,,,,,,,,,,,,,,,
0,2818328,['Дача'],"['4', 'сотки']","['50', 'м²']",,['2'],,['100'],['Дерево'],['Шифер'],['Печное'],,['Есть'],['Сезонная'],,"['Чистая', 'продажа']",,"['Минская', 'область']","['Пуховичский', 'район']","['с/т', 'Веленский', 'Ветеран']",,"['Пуховичский', 'с/с']","['53.462711,', '28.186429']",28 970 р.,,,,,['Другое'],1.0,1.0,['Да'],1.0,,,,"['5', 'м']","['6.55', 'м']",,['Есть'],,"['Отделка', 'деревом']",,,,1.0,,,,,,
0,3199807,['Дача'],"['6', 'соток']","['50', 'м²']","['36', 'м²']",['2'],['2008'],,['Сборно-щитовой'],,['Нет'],['Нет'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['273/1', 'от', '27.11.2023']","['Минская', 'область']","['Дзержинский', 'район']","['с/т', 'МАРГАРИНЩИК']",,"['Фанипольский', 'с/с']","['53.705186,', '27.379042']",66 728 р.,"['7.5', 'м²']",,,,['Частная'],,1.0,,1.0,1.0,1.0,,,,1.0,['Есть'],"['Брестское,', '26', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3158747,['Дача'],"['5', 'соток']","['39.2', 'м²']","['21.6', 'м²']",['2'],['1988'],,['Блочный'],['Шифер'],['Печное'],,['Есть'],['Скважина'],,"['Чистая', 'продажа']",['630948'],"['Брестская', 'область']","['Брестский', 'район']","['с/т', 'Турист-2']",,"['Мухавецкий', 'с/с']","['52.055493,', '23.785332']",48 825 р.,"['10.9', 'м²']",,,,['Частная'],,,,,,,,,,,,,,,,,,,,,,,
0,3284150,['Дача'],"['4.6', 'соток']","['74.7', 'м²']",,['2'],['1993'],['100'],['Керамзитбетон'],['Металло-черепица'],['Печное'],"['С/у', 'на', 'улице']",['220В'],['Сезонная'],,"['Чистая', 'продажа']",['121/1'],"['Минская', 'область']","['Молодечненский', 'район']","['с/т', 'ЗЕЛЕНАЯ', 'ДУБРАВУШКА']",['77'],"['Радошковичский', 'с/с']","['54.106695,', '27.148518']",94 395 р.,"['11', 'м²']",,['Есть'],['Есть'],['Частная'],,1.0,['Да'],1.0,1.0,1.0,,,,,['Есть'],"['Молодечненское,', '34', 'км', 'от', 'МКАД']","['Отделка', 'деревом']",['Да'],,,1.0,,,,,,
0,3268104,['Дача'],"['6.3', 'соток']","['72', 'м²']","['54', 'м²']",['1'],['2021'],['100'],"['Блок', 'газосиликатный']",,['Электрическое'],['Местная'],['Есть'],"['Центральный', 'водопровод']",,"['Чистая', 'продажа']","['1043/1', 'от', '12.02.2024']","['Минская', 'область']","['Минский', 'район']","['с/т', 'Горошки']",,"['Лошанский', 'с/с']","['54.066068,', '27.260653']",113 600 р.,"['8', 'м²']",,,,['Частная'],1.0,,,,,,,"['6', 'м']","['12', 'м']",,,"['Молодечненское,', '22', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3291213,['Дача'],"['8', 'соток']","['12.4', 'м²']",,['1'],['1985'],['99'],"['Дерево,', 'обложено', 'кирпичом']",['Шифер'],['Нет'],['Нет'],['Есть'],['Сезонная'],,,"['113/1', 'от', '13.02.2014']","['Минская', 'область']","['Минский', 'район']","['д.', 'Анусино']",,"['Петришковский', 'с/с']","['54.038073,', '27.197259']",24 413 р.,,['Нет'],,,,,,['Да'],1.0,,1.0,,,,,,"['Молодечненское,', '18.29', 'км', 'от', 'МКАД']","['Отделка', 'деревом']",,,,,,,,,,
0,3283081,['Дача'],"['10.19', 'соток']","['54', 'м²']","['36', 'м²']",['1'],['2023'],['100'],['Дерево'],['Евро-шифер'],['Электрическое'],['Местная'],['Есть'],['Скважина'],,"['Чистая', 'продажа']","['380/1', 'от', '08.09.2023']","['Минская', 'область']","['Дзержинский', 'район']","['с/т', 'МАРА', '2001']",['197'],"['Волменский', 'с/с']","['53.880131,', '27.001122']",97 325 р.,,['Нет'],,,['Частная'],,1.0,,1.0,1.0,1.0,,"['9', 'м']","['6', 'м']",,,"['Раковское,', '36', 'км', 'от', 'МКАД']",,,,,,,,,,,
0,3066682,['Дача'],"['4.1', 'сотки']","['35', 'м²']","['35', 'м²']",['2'],['1985'],['80'],['Кирпичный'],['Шифер'],['Печное'],['Местная'],['Есть'],['Сезонная'],,"['Чистая', 'продажа']","['1160/1', 'от', '19.06.2023']","['Минская', 'область']","['Минский', 'район']","['с/т', 'Автомобилист-04']",,"['Боровлянский', 'с/с']","['53.984297,', '27.763135']",73 238 р.,,['Нет'],,,['Частная'],,,,,,,,"['7.8', 'м']","['5.2', 'м']",,,"['Московское,', '9', 'км', 'от', 'МКАД']",,,,,,,,,,,
